distinguished	distinguish的过去式
distorted	distort的过去式
distracted	distract的过去式
distrained	distrain的过去式
distressed	distress的过去式
distributed distribute的过去式
disturbed	disturb的过去式
disunited	disunite的过去式
ditched ditch的过去式
dithered	dither的过去式
dittoed ditto的过去式
dived	dive的过去式
diverged	diverge的过去式
diverted	divert的过去式
divided divide的过去式
divined divine的过去式
dizzied dizzy的过去式
did do的过去式
doctored	doctor的过去式
dodged	dodge的过去式
dogged	dog的过去式
doled	dole的过去式
dolled	doll的过去式
domed	dome的过去式
domesticated	domesticate的过去式
dominated	dominate的过去式
donated donate的过去式
doomed	doom的过去式
dosed	dose的过去式
doubled double的过去式
doubted doubt的过去式
dozed	doze的过去式
drafted draft的过去式
dragged drag的过去式
drained drain的过去式
dramatized	dramatize的过去式
drew	draw的过去式
dreaded dread的过去式
dreamed dream的过去式
drenched	drench的过去式
dressed dress的过去式
drifted drift的过去式
drank	drink的过去式
dripped drip的过去式
drove	drive的过去式
drooped droop的过去式
dropped drop的过去式
drowned drown的过去式
drowsed drowse的过去式
drugged drug的过去式
drummed drum的过去式
dried	dry的过去式
dulled	dull的过去式
dummied dummy的过去式
dunged	dung的过去式
dungeoned	dungeon的过去式
dusked	dusk的过去式
dusted	dust的过去式
dwarfed dwarf的过去式
dwelt	dwell的过去式
dwindled	dwindle的过去式
dyed	dye的过去式
earmarked	earmark的过去式
earned	earn的过去式
earthed earth的过去式
eased	ease的过去式
ate eat的过去式
ebbed	ebb的过去式
echoed	echo的过去式
eclipsed	eclipse的过去式
economized	economize的过去式
eddied	eddy的过去式
edged	edge的过去式
edited	edit的过去式
educated	educate的过去式
effected	effect的过去式
ejected eject的过去式
eked	eke的过去式
elapsed elapse的过去式
elbowed elbow的过去式
elected elect的过去式
electrified electrify的过去式
elevated	elevate的过去式
elicited	elicit的过去式
eliminated	eliminate的过去式
elucidated	elucidate的过去式
emancipated emancipate的过去式
embargoed	embargo的过去式
embarked	embark的过去式
embarrassed embarrass的过去式
embedded	embed的过去式
embezzled	embezzle的过去式
embodied	embody的过去式
embraced	embrace的过去式
embroidered embroider的过去式
emerged emerge的过去式
emigrated	emigrate的过去式
emitted emit的过去式
emphasized	emphasize的过去式
employed	employ的过去式
emptied empty的过去式
emulated	emulate的过去式
enabled enable的过去式
encapsulated	encapsulate的过去式
encased encase的过去式
enchanted	enchant的过去式
enciphered	encipher的过去式
encircled	encircle的过去式
enclosed	enclose的过去式
encoded encode的过去式
encountered encounter的过去式
encouraged	encourage的过去式
encrypted	encrypt的过去式
ended	end的过去式
endangered	endanger的过去式
endeavored	endeavor的过去式
endeavoured endeavour的过去式
endorsed	endorse的过去式
endowed endow的过去式
endured endure的过去式
enforced	enforce的过去式
engineered	engineer的过去式
engraved	engrave的过去式
engrossed	engross的过去式
engulfed	engulf的过去式
enhanced	enhance的过去式
enjoyed enjoy的过去式
enlarged	enlarge的过去式
enlightened enlighten的过去式
enquired	enquire的过去式
enriched	enrich的过去式
enrolled	enrol的过去式
enrolled	enroll的过去式
ensued	ensue的过去式
ensured ensure的过去式
entailed	entail的过去式
entangled	entangle的过去式
entered enter的过去式
entertained entertain的过去式
entitled	entitle的过去式
entreated	entreat的过去式
entrusted	entrust的过去式
enumerated	enumerate的过去式
enveloped	envelop的过去式
environed	environ的过去式
envisaged	envisage的过去式
envied	envy的过去式
equaled equal的过去式
equipped	equip的过去式
eradicated	eradicate的过去式
erased	erase的过去式
erected erect的过去式
erred	err的过去式
erupted erupt的过去式
escalated	escalate的过去式
escaped escape的过去式
escorted	escort的过去式
established establish的过去式
esteemed	esteem的过去式
estimated	estimate的过去式
evacuated	evacuate的过去式
evaded	evade的过去式
evaluated	evaluate的过去式
evaporated	evaporate的过去式
evened	even的过去式
evicted evict的过去式
evidenced	evidence的过去式
evoked	evoke的过去式
evolved evolve的过去式
exacerbated exacerbate的过去式
exacted exact的过去式
exaggerated exaggerate的过去式
exalted exalt的过去式
examined	examine的过去式
exasperated exasperate的过去式
excavated	excavate的过去式
exceeded	exceed的过去式
excelled	excel的过去式
excepted	except的过去式
exchanged	exchange的过去式
excised excise的过去式
excited excite的过去式
exclaimed	exclaim的过去式
excluded	exclude的过去式
excreted	excrete的过去式
excused excuse的过去式
executed	execute的过去式
exemplified exemplify的过去式
exempted	exempt的过去式
exercised	exercise的过去式
exerted exert的过去式
exhaled exhale的过去式
exhausted	exhaust的过去式
exhibited	exhibit的过去式
exhilarated exhilarate的过去式
exhorted	exhort的过去式
exiled	exile的过去式
existed exist的过去式
exited	exit的过去式
exonerated	exonerate的过去式
expanded	expand的过去式
expected	expect的过去式
expedited	expedite的过去式
expelled	expel的过去式
expended	expend的过去式
experienced experience的过去式
experimented	experiment的过去式
expired expire的过去式
explained	explain的过去式
exploded	explode的过去式
explored	explore的过去式
expunged	expunge的过去式
extended	extend的过去式
exterminated	exterminate的过去式
extinguished	extinguish的过去式
extorted	extort的过去式
eyed	eye的过去式
eyeballed	eyeball的过去式
fabled	fable的过去式
fabricated	fabricate的过去式
faced	face的过去式
faceted facet的过去式
facilitated facilitate的过去式
facsimiled	facsimile的过去式
factored	factor的过去式
faded	fade的过去式
failed	fail的过去式
fainted faint的过去式
faked	fake的过去式
fell	fall的过去式
faltered	falter的过去式
famed	fame的过去式
familiarized	familiarize的过去式
fancied fancy的过去式
fared	fare的过去式
farmed	farm的过去式
fascinated	fascinate的过去式
fashioned	fashion的过去式
fastened	fasten的过去式
fatted	fat的过去式
fated	fate的过去式
fathered	father的过去式
fathomed	fathom的过去式
fatigued	fatigue的过去式
faulted fault的过去式
favored favor的过去式
favoured	favour的过去式
feared	fear的过去式
feasted feast的过去式
feathered	feather的过去式
featured	feature的过去式
feed	fee的过去式
fed feed的过去式
felt	feel的过去式
fenced	fence的过去式
fended	fend的过去式
ferried ferry的过去式
festered	fester的过去式
fettered	fetter的过去式
fevered fever的过去式
fiddled fiddle的过去式
fielded field的过去式
figured figure的过去式
filled	fill的过去式
filmed	film的过去式
filtered	filter的过去式
finalized	finalize的过去式
financed	finance的过去式
found	find的过去式
fingered	finger的过去式
finished	finish的过去式
fired	fire的过去式
fished	fish的过去式
fisted	fist的过去式
fixed	fix的过去式
flamed	flame的过去式
flanked flank的过去式
flanneled	flannel的过去式
flapped flap的过去式
flared	flare的过去式
flashed flash的过去式
flattened	flatten的过去式
flattered	flatter的过去式
flaunted	flaunt的过去式
flavored	flavor的过去式
flavoured	flavour的过去式
fled	flee的过去式
fleeced fleece的过去式
fleshed flesh的过去式
flexed	flex的过去式
flickered	flicker的过去式
flung	fling的过去式
flirted flirt的过去式
floated float的过去式
flooded flood的过去式
floored floor的过去式
floured flour的过去式
flourished	flourish的过去式
flowed	flow的过去式
flowered	flower的过去式
fluffed fluff的过去式
fluted	flute的过去式
fluttered	flutter的过去式
fluxed	flux的过去式
flew	fly的过去式
foamed	foam的过去式
focused focus的过去式
fogged	fog的过去式
followed	follow的过去式
fooled	fool的过去式
footed	foot的过去式
footnoted	footnote的过去式
forbade forbid的过去式
forced	force的过去式
forecast	forecast的过去式
foregrounded	foreground的过去式
foresaw foresee的过去式
forested	forest的过去式
foretold	foretell的过去式
forfeited	forfeit的过去式
forgot	forget的过去式
forgave forgive的过去式
forked	fork的过去式
formed	form的过去式
formulated	formulate的过去式
forsook forsake的过去式
fortified	fortify的过去式
fortuned	fortune的过去式
forwarded	forward的过去式
fostered	foster的过去式
fouled	foul的过去式
fowled	fowl的过去式
foxed	fox的过去式
fractured	fracture的过去式
fragmented	fragment的过去式
framed	frame的过去式
franchised	franchise的过去式
franked frank的过去式
freed	free的过去式
froze	freeze的过去式
freighted	freight的过去式
frequented	frequent的过去式
freshened	freshen的过去式
friended	friend的过去式
frighted	fright的过去式
frightened	frighten的过去式
fringed fringe的过去式
fronted front的过去式
frosted frost的过去式
frowned frown的过去式
fruited fruit的过去式
frustrated	frustrate的过去式
fueled	fuel的过去式
fulfilled	fulfil的过去式
fulfilled	fulfill的过去式
fulled	full的过去式
fumbled fumble的过去式
fumed	fume的过去式
funned	fun的过去式
functioned	function的过去式
funded	fund的过去式
funneled	funnel的过去式
furred	fur的过去式
furnished	furnish的过去式
furrowed	furrow的过去式
furthered	further的过去式
fussed	fuss的过去式
gained	gain的过去式
gainsaid	gainsay的过去式
gallivanted gallivant的过去式
galloped	gallop的过去式
galvanized	galvanize的过去式
gambled gamble的过去式
gamed	game的过去式
ganged	gang的过去式
gaoled	gaol的过去式
gapped	gap的过去式
gaped	gape的过去式
garaged garage的过去式
gardened	garden的过去式
garmented	garment的过去式
garrisoned	garrison的过去式
gassed	gas的过去式
gasped	gasp的过去式
gated	gate的过去式
gathered	gather的过去式
gathered	gathering的过去式
gauged	gauge的过去式
gazed	gaze的过去式
geared	gear的过去式
gelled	gel的过去式
gemmed	gem的过去式
gendered	gender的过去式
generalized generalize的过去式
generated	generate的过去式
gentled gentle的过去式
germed	germ的过去式
gestured	gesture的过去式
got get的过去式
ghosted ghost的过去式
gifted	gift的过去式
giggled giggle的过去式
gingered	ginger的过去式
gave	give的过去式
gladded glad的过去式
glamoured	glamour的过去式
glanced glance的过去式
glassed glass的过去式
gleamed gleam的过去式
glided	glide的过去式
glimmered	glimmer的过去式
glimpsed	glimpse的过去式
glistened	glisten的过去式
glittered	glitter的过去式
globalized	globalize的过去式
globed	globe的过去式
gloomed gloom的过去式
glorified	glorify的过去式
gloried glory的过去式
gloved	glove的过去式
glowed	glow的过去式
glued	glue的过去式
glutted glut的过去式
gnawed	gnaw的过去式
went	go的过去式
goaded	goad的过去式
goaled	goal的过去式
golfed	golf的过去式
gorged	gorge的过去式
gossiped	gossip的过去式
governed	govern的过去式
gowned	gown的过去式
grabbed grab的过去式
